sent_data_size, max_receive_time
51702, 45
105946, 118
105592, 156
104884, 156
104530, 156
103468, 156
103114, 156
102406, 156
102052, 156
100636, 157
100282, 170
99574, 170
99220, 170
98158, 170
97804, 170
97096, 170
97450, 170
96742, 170
94972, 170
94618, 170
93910, 170
93556, 170
92494, 170
92140, 170
91432, 170
91078, 170
89662, 170
89308, 170
88600, 170
88246, 170
87184, 170
86830, 170
86122, 170
85768, 170
83644, 170
83290, 170
82582, 170
83998, 170
82228, 170
81166, 170
82582, 170
80812, 170
80104, 170
79750, 178
78334, 178
77980, 178
77272, 178
76918, 181
75856, 181
75502, 181
74794, 181
75502, 181
75148, 181
74440, 181
72670, 184
72316, 184
71608, 184
71254, 184
70192, 184
69838, 184
69130, 184
69838, 184
69838, 184
69838, 184
69484, 184
69838, 184
69838, 184
68776, 184
67360, 184
68422, 184
68422, 184
67006, 184
66298, 184
65944, 184
66298, 184
66298, 184
64882, 184
65590, 184
64528, 184
63820, 184
63820, 184
64174, 184
63466, 184
60988, 184
60634, 184
59926, 184
59572, 184
58510, 184
60280, 184
60280, 184
60280, 184
58156, 184
58510, 184
57448, 184
57094, 184
58156, 184
57094, 184
58156, 184
55678, 184
55324, 184
54616, 184
56032, 184
54262, 184
55324, 184
55324, 184
53200, 184
52846, 184
52138, 184
51784, 184
50014, 184
49660, 184
48952, 184
50368, 184
48598, 184
49306, 184
47536, 184
48598, 184
47182, 184
46474, 184
47536, 184
46120, 184
46828, 184
44704, 184
45766, 184
44350, 184
43642, 184
43288, 184
42226, 184
41872, 184
41164, 184
41518, 184
40810, 184
40810, 184
41164, 184
38686, 184
40456, 184
40456, 184
38332, 184
39748, 184
37624, 184
39040, 184
37270, 184
38332, 184
36208, 184
37624, 184
37624, 184
37624, 184
37624, 184
35854, 184
35146, 184
36208, 184
34792, 184
34792, 184
35500, 184
35500, 184
35500, 184
35500, 184
35500, 184
34792, 184
34792, 184
33376, 184
33022, 184
32314, 184
33376, 184
33376, 184
33376, 184
33376, 184
31960, 184
32668, 184
30898, 184
31960, 184
31606, 184
30544, 184
29836, 184
30190, 184
30190, 184
29482, 184
29836, 184
27712, 184
27358, 184
26650, 184
26296, 184
27004, 184
25234, 184
26296, 184
26296, 184
26296, 184
24880, 184
24172, 184
24880, 184
23818, 184
22402, 184
22048, 184
22756, 184
21340, 184
20986, 184
21340, 184
21340, 184
21340, 184
19924, 184
19570, 184
19924, 184
19924, 184
19924, 184
19924, 184
18862, 184
19216, 184
19216, 184
19216, 184
19216, 184
19216, 184
19216, 184
19216, 184
19216, 184
19216, 184
18508, 184
18508, 184
18508, 184
15676, 184
18154, 184
15322, 184
17446, 184
15322, 184
17446, 184
14614, 184
16738, 184
14260, 184
16030, 184
13198, 184
15322, 184
15322, 184
15322, 184
12844, 184
12136, 184
11782, 184
10366, 184
12490, 184
12490, 184
12490, 184
12490, 184
10012, 184
9304, 184
11074, 184
11074, 184
11074, 184
8950, 184
7888, 184
9658, 184
7888, 184
9658, 184
9658, 184
7534, 184
6826, 184
6472, 184
6472, 184
6472, 184
4702, 184
